parameter # (B),token   # (B),lg_alpha,carbon_pred_t,error_rate,error_% 
33718272.0,53793700.0,35.839163,0.0011209130897158724,0.9977369006870264,99.77369006870263
38535168.0,53793700.0,35.839163,0.0012790883847898682,0.9974175481833437,99.74175481833437
43352064.0,53793700.0,35.839163,0.0014370398351406305,0.9970986476173215,99.70986476173215
48168960.0,53793700.0,35.839163,0.0015947929510628984,0.9967801474842259,99.6780147484226
52985856.0,53793700.0,35.839163,0.0017523680597535298,0.9964620067438854,99.64620067438854
57802752.0,53793700.0,35.839163,0.0019097817373910238,0.9961441919293539,99.61441919293539
62619648.0,53793700.0,35.839163,0.002067047758174224,0.9958266752308212,99.58266752308212
67436544.0,53793700.0,35.839163,0.002224177748198618,0.995509433175452,99.5509433175452
72253440.0,53793700.0,35.839163,0.0023811816506538646,0.995192445688161,99.5192445688161
77070336.0,53793700.0,35.839163,0.0025380680658178534,0.994875695405173,99.4875695405173
81887232.0,53793700.0,35.839163,0.0026948445053085767,0.9945591671606933,99.45591671606932
86704128.0,53793700.0,35.839163,0.002851517586014153,0.9942428475953682,99.42428475953682
91521024.0,53793700.0,35.839163,0.003008093180583688,0.9939267248524456,99.39267248524456
96337920.0,53793700.0,35.839163,0.003164576535992451,0.993610788338396,99.3610788338396
101154816.0,53793700.0,35.839163,0.0033209723682175777,0.9932950285317633,99.32950285317634
67436544.0,26896850.0,35.839163,0.0011209130897158724,0.9977369006870264,99.77369006870263
67436544.0,30739257.14285714,35.839163,0.0012790883847898682,0.9974175481833437,99.74175481833437
67436544.0,34581664.28571428,35.839163,0.0014370398351406305,0.9970986476173215,99.70986476173215
67436544.0,38424071.42857143,35.839163,0.0015947929510628984,0.9967801474842259,99.6780147484226
67436544.0,42266478.57142857,35.839163,0.0017523680597535298,0.9964620067438854,99.64620067438854
67436544.0,46108885.71428572,35.839163,0.0019097817373910238,0.9961441919293539,99.61441919293539
67436544.0,49951292.85714286,35.839163,0.002067047758174224,0.9958266752308212,99.58266752308212
67436544.0,53793700.0,35.839163,0.002224177748198618,0.995509433175452,99.5509433175452
67436544.0,57636107.14285714,35.839163,0.0023811816506538646,0.995192445688161,99.5192445688161
67436544.0,61478514.28571428,35.839163,0.0025380680658178534,0.994875695405173,99.4875695405173
67436544.0,65320921.428571425,35.839163,0.0026948445053085767,0.9945591671606933,99.45591671606932
67436544.0,69163328.57142857,35.839163,0.002851517586014153,0.9942428475953682,99.42428475953682
67436544.0,73005735.71428572,35.839163,0.003008093180583688,0.9939267248524456,99.39267248524456
67436544.0,76848142.85714287,35.839163,0.0031645765359924515,0.993610788338396,99.3610788338396
67436544.0,80690550.0,35.839163,0.0033209723682175777,0.9932950285317633,99.32950285317634
67436544.0,53793700.0,17.9195815,0.004171391376042396,0.9915780509266255,99.15780509266256
67436544.0,53793700.0,20.479521714285713,0.0037096317026462837,0.9925103337317862,99.25103337317861
67436544.0,53793700.0,23.039461928571427,0.003339215711229672,0.9932581956163341,99.32581956163341
67436544.0,53793700.0,25.599402142857144,0.003035588107196719,0.9938712131895887,99.38712131895888
67436544.0,53793700.0,28.159342357142854,0.0027822473722113506,0.9943827026605868,99.43827026605868
67436544.0,53793700.0,30.71928257142857,0.0025677005414797213,0.9948158680769641,99.4815868076964
67436544.0,53793700.0,33.27922278571428,0.0023837005081904267,0.9951873601692097,99.51873601692097
67436544.0,53793700.0,35.839163,0.002224177748198618,0.995509433175452,99.5509433175452
67436544.0,53793700.0,38.39910321428572,0.0020845673232773704,0.9957913036073544,99.57913036073543
67436544.0,53793700.0,40.95904342857143,0.001961370622798557,0.9960400350841944,99.60400350841944
67436544.0,53793700.0,43.51898364285714,0.0018518616690279131,0.9962611312961278,99.62611312961278
67436544.0,53793700.0,46.078923857142854,0.0017538853074604472,0.9964589434535424,99.64589434535424
67436544.0,53793700.0,48.63886407142857,0.0016657154383565192,0.9966369565145234,99.66369565145234
67436544.0,53793700.0,51.19880428571428,0.0015859534531070447,0.9967979942396386,99.67979942396386
67436544.0,53793700.0,53.7587445,0.001513454185512976,0.9969443686947043,99.69443686947042
